venue,innings,batting_team,bowling_team,tot,wickets
Arun Jaitley Stadium,1,Delhi Daredevils,Chennai Super Kings,50,2
Arun Jaitley Stadium,2,Chennai Super Kings,Delhi Daredevils,58,0
Eden Gardens,1,Kolkata Knight Riders,Royal Challengers Bangalore,41,2
Eden Gardens,2,Royal Challengers Bangalore,Kolkata Knight Riders,35,2
Sawai Mansingh Stadium,1,Deccan Chargers,Rajasthan Royals,50,0
Sawai Mansingh Stadium,2,Rajasthan Royals,Deccan Chargers,50,0
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Mumbai Indians,36,2
M Chinnaswamy Stadium,2,Mumbai Indians,Royal Challengers Bangalore,39,0
MA Chidambaram Stadium,1,Chennai Super Kings,Punjab Kings,51,2
MA Chidambaram Stadium,2,Punjab Kings,Chennai Super Kings,35,2
"Rajiv Gandhi International Stadium, Uppal",1,Kolkata Knight Riders,Deccan Chargers,43,1
"Rajiv Gandhi International Stadium, Uppal",2,Deccan Chargers,Kolkata Knight Riders,52,3
Sawai Mansingh Stadium,1,Delhi Daredevils,Rajasthan Royals,47,1
Sawai Mansingh Stadium,2,Rajasthan Royals,Delhi Daredevils,21,2
"Punjab Cricket Association Stadium, Mohali",1,Royal Challengers Bangalore,Punjab Kings,50,3
"Punjab Cricket Association Stadium, Mohali",2,Punjab Kings,Royal Challengers Bangalore,42,0
Eden Gardens,1,Kolkata Knight Riders,Delhi Daredevils,35,0
Eden Gardens,2,Delhi Daredevils,Kolkata Knight Riders,37,4
Wankhede Stadium,1,Chennai Super Kings,Mumbai Indians,28,2
Wankhede Stadium,2,Mumbai Indians,Chennai Super Kings,78,0
"Punjab Cricket Association Stadium, Mohali",1,Punjab Kings,Rajasthan Royals,51,0
"Punjab Cricket Association Stadium, Mohali",2,Rajasthan Royals,Punjab Kings,38,2
Arun Jaitley Stadium,1,Delhi Daredevils,Deccan Chargers,48,1
Arun Jaitley Stadium,2,Deccan Chargers,Delhi Daredevils,71,1
Wankhede Stadium,1,Kolkata Knight Riders,Mumbai Indians,27,3
Wankhede Stadium,2,Mumbai Indians,Kolkata Knight Riders,68,2
Arun Jaitley Stadium,1,Delhi Daredevils,Punjab Kings,68,0
Arun Jaitley Stadium,2,Punjab Kings,Delhi Daredevils,73,3
Sawai Mansingh Stadium,1,Rajasthan Royals,Royal Challengers Bangalore,51,0
Sawai Mansingh Stadium,2,Royal Challengers Bangalore,Rajasthan Royals,23,3
"Rajiv Gandhi International Stadium, Uppal",1,Mumbai Indians,Deccan Chargers,57,1
"Rajiv Gandhi International Stadium, Uppal",2,Deccan Chargers,Mumbai Indians,28,3
Eden Gardens,1,Kolkata Knight Riders,Chennai Super Kings,35,2
Eden Gardens,2,Chennai Super Kings,Kolkata Knight Riders,43,0
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Delhi Daredevils,41,1
M Chinnaswamy Stadium,2,Delhi Daredevils,Royal Challengers Bangalore,71,0
Eden Gardens,1,Kolkata Knight Riders,Rajasthan Royals,32,1
Eden Gardens,2,Rajasthan Royals,Kolkata Knight Riders,42,3
Wankhede Stadium,1,Punjab Kings,Mumbai Indians,43,1
Wankhede Stadium,2,Mumbai Indians,Punjab Kings,68,1
MA Chidambaram Stadium,1,Royal Challengers Bangalore,Chennai Super Kings,23,2
MA Chidambaram Stadium,2,Chennai Super Kings,Royal Challengers Bangalore,44,0
"Punjab Cricket Association Stadium, Mohali",1,Deccan Chargers,Punjab Kings,42,0
"Punjab Cricket Association Stadium, Mohali",2,Punjab Kings,Deccan Chargers,74,0
Arun Jaitley Stadium,1,Mumbai Indians,Delhi Daredevils,60,0
Arun Jaitley Stadium,2,Delhi Daredevils,Mumbai Indians,56,2
MA Chidambaram Stadium,1,Rajasthan Royals,Chennai Super Kings,67,0
MA Chidambaram Stadium,2,Chennai Super Kings,Rajasthan Royals,65,1
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Deccan Chargers,46,1
M Chinnaswamy Stadium,2,Deccan Chargers,Royal Challengers Bangalore,33,2
Eden Gardens,1,Punjab Kings,Kolkata Knight Riders,47,1
Eden Gardens,2,Kolkata Knight Riders,Punjab Kings,51,2
Sawai Mansingh Stadium,1,Mumbai Indians,Rajasthan Royals,29,0
Sawai Mansingh Stadium,2,Rajasthan Royals,Mumbai Indians,35,2
"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,Chennai Super Kings,26,2
"Rajiv Gandhi International Stadium, Uppal",2,Chennai Super Kings,Deccan Chargers,44,1
Wankhede Stadium,1,Rajasthan Royals,Delhi Daredevils,58,0
Wankhede Stadium,2,Delhi Daredevils,Rajasthan Royals,28,3
Wankhede Stadium,1,Punjab Kings,Chennai Super Kings,35,4
Wankhede Stadium,2,Chennai Super Kings,Punjab Kings,35,1
Dr DY Patil Sports Academy,1,Chennai Super Kings,Rajasthan Royals,42,1
Dr DY Patil Sports Academy,2,Rajasthan Royals,Chennai Super Kings,41,1
Newlands,1,Mumbai Indians,Chennai Super Kings,40,1
Newlands,2,Chennai Super Kings,Mumbai Indians,40,2
Newlands,1,Royal Challengers Bangalore,Rajasthan Royals,29,3
Newlands,2,Rajasthan Royals,Royal Challengers Bangalore,14,2
Newlands,1,Punjab Kings,Delhi Daredevils,67,0
Newlands,2,Delhi Daredevils,Punjab Kings,58,0
Newlands,1,Kolkata Knight Riders,Deccan Chargers,17,3
Newlands,2,Deccan Chargers,Kolkata Knight Riders,37,2
St George's Park,1,Chennai Super Kings,Royal Challengers Bangalore,68,0
St George's Park,2,Royal Challengers Bangalore,Chennai Super Kings,46,2
Kingsmead,1,Punjab Kings,Kolkata Knight Riders,46,1
Kingsmead,2,Kolkata Knight Riders,Punjab Kings,60,1
Newlands,1,Deccan Chargers,Royal Challengers Bangalore,62,1
Newlands,2,Royal Challengers Bangalore,Deccan Chargers,31,2
Kingsmead,1,Delhi Daredevils,Chennai Super Kings,59,2
Kingsmead,2,Chennai Super Kings,Delhi Daredevils,60,1
Newlands,1,Rajasthan Royals,Kolkata Knight Riders,50,2
Newlands,2,Kolkata Knight Riders,Rajasthan Royals,38,1
Kingsmead,1,Royal Challengers Bangalore,Punjab Kings,49,3
Kingsmead,2,Punjab Kings,Royal Challengers Bangalore,44,0
Kingsmead,1,Deccan Chargers,Mumbai Indians,55,0
Kingsmead,2,Mumbai Indians,Deccan Chargers,49,1
St George's Park,1,Royal Challengers Bangalore,Delhi Daredevils,44,2
St George's Park,2,Delhi Daredevils,Royal Challengers Bangalore,43,2
Newlands,1,Punjab Kings,Rajasthan Royals,32,2
Newlands,2,Rajasthan Royals,Punjab Kings,32,4
Kingsmead,1,Chennai Super Kings,Deccan Chargers,62,1
Kingsmead,2,Deccan Chargers,Chennai Super Kings,69,1
St George's Park,1,Mumbai Indians,Kolkata Knight Riders,55,0
St George's Park,2,Kolkata Knight Riders,Mumbai Indians,47,2
SuperSport Park,1,Delhi Daredevils,Rajasthan Royals,42,3
SuperSport Park,2,Rajasthan Royals,Delhi Daredevils,33,2
Kingsmead,1,Kolkata Knight Riders,Royal Challengers Bangalore,45,2
Kingsmead,2,Royal Challengers Bangalore,Kolkata Knight Riders,46,0
Kingsmead,1,Punjab Kings,Mumbai Indians,26,2
Kingsmead,2,Mumbai Indians,Punjab Kings,23,3
SuperSport Park,1,Deccan Chargers,Delhi Daredevils,37,2
SuperSport Park,2,Delhi Daredevils,Deccan Chargers,37,2
SuperSport Park,1,Chennai Super Kings,Rajasthan Royals,40,2
SuperSport Park,2,Rajasthan Royals,Chennai Super Kings,38,2
Buffalo Park,1,Mumbai Indians,Kolkata Knight Riders,40,2
Buffalo Park,2,Kolkata Knight Riders,Mumbai Indians,26,2
Kingsmead,1,Royal Challengers Bangalore,Punjab Kings,38,2
Kingsmead,2,Punjab Kings,Royal Challengers Bangalore,35,0
St George's Park,1,Deccan Chargers,Rajasthan Royals,39,2
St George's Park,2,Rajasthan Royals,Deccan Chargers,29,3
New Wanderers Stadium,1,Chennai Super Kings,Delhi Daredevils,47,2
New Wanderers Stadium,2,Delhi Daredevils,Chennai Super Kings,49,2
St George's Park,1,Kolkata Knight Riders,Punjab Kings,28,1
St George's Park,2,Punjab Kings,Kolkata Knight Riders,51,2
New Wanderers Stadium,1,Mumbai Indians,Royal Challengers Bangalore,25,3
New Wanderers Stadium,2,Royal Challengers Bangalore,Mumbai Indians,51,1
Buffalo Park,1,Chennai Super Kings,Deccan Chargers,53,0
Buffalo Park,2,Deccan Chargers,Chennai Super Kings,52,3
Kingsmead,1,Rajasthan Royals,Punjab Kings,57,0
Kingsmead,2,Punjab Kings,Rajasthan Royals,29,4
Kingsmead,1,Kolkata Knight Riders,Delhi Daredevils,54,0
Kingsmead,2,Delhi Daredevils,Kolkata Knight Riders,57,0
SuperSport Park,1,Deccan Chargers,Mumbai Indians,37,2
SuperSport Park,2,Mumbai Indians,Deccan Chargers,41,2
SuperSport Park,1,Royal Challengers Bangalore,Rajasthan Royals,29,3
SuperSport Park,2,Rajasthan Royals,Royal Challengers Bangalore,31,1
SuperSport Park,1,Chennai Super Kings,Punjab Kings,57,1
SuperSport Park,2,Punjab Kings,Chennai Super Kings,52,1
Buffalo Park,1,Mumbai Indians,Delhi Daredevils,30,3
Buffalo Park,2,Delhi Daredevils,Mumbai Indians,36,0
De Beers Diamond Oval,1,Deccan Chargers,Punjab Kings,52,1
De Beers Diamond Oval,2,Punjab Kings,Deccan Chargers,45,2
De Beers Diamond Oval,1,Rajasthan Royals,Chennai Super Kings,34,1
De Beers Diamond Oval,2,Chennai Super Kings,Rajasthan Royals,37,2
St George's Park,1,Mumbai Indians,Royal Challengers Bangalore,46,1
St George's Park,2,Royal Challengers Bangalore,Mumbai Indians,39,2
New Wanderers Stadium,1,Kolkata Knight Riders,Delhi Daredevils,33,3
New Wanderers Stadium,2,Delhi Daredevils,Kolkata Knight Riders,47,0
De Beers Diamond Oval,1,Deccan Chargers,Rajasthan Royals,42,2
De Beers Diamond Oval,2,Rajasthan Royals,Deccan Chargers,30,2
SuperSport Park,1,Kolkata Knight Riders,Royal Challengers Bangalore,38,2
SuperSport Park,2,Royal Challengers Bangalore,Kolkata Knight Riders,46,0
SuperSport Park,1,Punjab Kings,Mumbai Indians,51,3
SuperSport Park,2,Mumbai Indians,Punjab Kings,42,2
Kingsmead,1,Delhi Daredevils,Deccan Chargers,56,1
Kingsmead,2,Deccan Chargers,Delhi Daredevils,50,2
Kingsmead,1,Chennai Super Kings,Royal Challengers Bangalore,52,2
Kingsmead,2,Royal Challengers Bangalore,Chennai Super Kings,33,3
Kingsmead,1,Rajasthan Royals,Mumbai Indians,42,0
Kingsmead,2,Mumbai Indians,Rajasthan Royals,26,3
OUTsurance Oval,1,Delhi Daredevils,Punjab Kings,37,2
OUTsurance Oval,2,Punjab Kings,Delhi Daredevils,37,3
St George's Park,1,Mumbai Indians,Chennai Super Kings,49,2
St George's Park,2,Chennai Super Kings,Mumbai Indians,35,2
New Wanderers Stadium,1,Kolkata Knight Riders,Deccan Chargers,31,1
New Wanderers Stadium,2,Deccan Chargers,Kolkata Knight Riders,50,0
New Wanderers Stadium,1,Punjab Kings,Deccan Chargers,39,3
New Wanderers Stadium,2,Deccan Chargers,Punjab Kings,46,2
OUTsurance Oval,1,Delhi Daredevils,Rajasthan Royals,35,2
OUTsurance Oval,2,Rajasthan Royals,Delhi Daredevils,24,2
SuperSport Park,1,Chennai Super Kings,Kolkata Knight Riders,54,0
SuperSport Park,2,Kolkata Knight Riders,Chennai Super Kings,56,1
New Wanderers Stadium,1,Delhi Daredevils,Royal Challengers Bangalore,37,3
New Wanderers Stadium,2,Royal Challengers Bangalore,Delhi Daredevils,27,1
Kingsmead,1,Rajasthan Royals,Kolkata Knight Riders,46,4
Kingsmead,2,Kolkata Knight Riders,Rajasthan Royals,29,3
Kingsmead,1,Chennai Super Kings,Punjab Kings,50,1
Kingsmead,2,Punjab Kings,Chennai Super Kings,29,1
SuperSport Park,1,Mumbai Indians,Delhi Daredevils,30,3
SuperSport Park,2,Delhi Daredevils,Mumbai Indians,60,1
SuperSport Park,1,Royal Challengers Bangalore,Deccan Chargers,33,1
SuperSport Park,2,Deccan Chargers,Royal Challengers Bangalore,64,0
SuperSport Park,1,Delhi Daredevils,Deccan Chargers,49,2
SuperSport Park,2,Deccan Chargers,Delhi Daredevils,83,1
New Wanderers Stadium,1,Chennai Super Kings,Royal Challengers Bangalore,52,0
New Wanderers Stadium,2,Royal Challengers Bangalore,Chennai Super Kings,59,2
New Wanderers Stadium,1,Deccan Chargers,Royal Challengers Bangalore,31,2
New Wanderers Stadium,2,Royal Challengers Bangalore,Deccan Chargers,36,1
Dr DY Patil Sports Academy,1,Kolkata Knight Riders,Deccan Chargers,38,4
Dr DY Patil Sports Academy,2,Deccan Chargers,Kolkata Knight Riders,62,1
Brabourne Stadium,1,Mumbai Indians,Rajasthan Royals,69,1
Brabourne Stadium,2,Rajasthan Royals,Mumbai Indians,39,2
"Punjab Cricket Association Stadium, Mohali",1,Punjab Kings,Delhi Daredevils,44,2
"Punjab Cricket Association Stadium, Mohali",2,Delhi Daredevils,Punjab Kings,39,2
Eden Gardens,1,Royal Challengers Bangalore,Kolkata Knight Riders,24,3
Eden Gardens,2,Kolkata Knight Riders,Royal Challengers Bangalore,61,0
MA Chidambaram Stadium,1,Deccan Chargers,Chennai Super Kings,57,2
MA Chidambaram Stadium,2,Chennai Super Kings,Deccan Chargers,34,4
Narendra Modi Stadium,1,Rajasthan Royals,Delhi Daredevils,47,3
Narendra Modi Stadium,2,Delhi Daredevils,Rajasthan Royals,60,2
M Chinnaswamy Stadium,1,Punjab Kings,Royal Challengers Bangalore,50,0
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Punjab Kings,61,0
Eden Gardens,1,Chennai Super Kings,Kolkata Knight Riders,31,1
Eden Gardens,2,Kolkata Knight Riders,Chennai Super Kings,45,3
Arun Jaitley Stadium,1,Mumbai Indians,Delhi Daredevils,67,1
Arun Jaitley Stadium,2,Delhi Daredevils,Mumbai Indians,56,1
M Chinnaswamy Stadium,1,Rajasthan Royals,Royal Challengers Bangalore,31,1
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Rajasthan Royals,59,0
Arun Jaitley Stadium,1,Delhi Daredevils,Chennai Super Kings,52,1
Arun Jaitley Stadium,2,Chennai Super Kings,Delhi Daredevils,56,1
Barabati Stadium,1,Deccan Chargers,Punjab Kings,56,2
Barabati Stadium,2,Punjab Kings,Deccan Chargers,27,3
Narendra Modi Stadium,1,Rajasthan Royals,Kolkata Knight Riders,56,2
Narendra Modi Stadium,2,Kolkata Knight Riders,Rajasthan Royals,38,1
Brabourne Stadium,1,Mumbai Indians,Royal Challengers Bangalore,45,2
Brabourne Stadium,2,Royal Challengers Bangalore,Mumbai Indians,55,0
Barabati Stadium,1,Deccan Chargers,Delhi Daredevils,47,2
Barabati Stadium,2,Delhi Daredevils,Deccan Chargers,48,1
MA Chidambaram Stadium,1,Punjab Kings,Chennai Super Kings,38,1
MA Chidambaram Stadium,2,Chennai Super Kings,Punjab Kings,42,0
Brabourne Stadium,1,Kolkata Knight Riders,Mumbai Indians,37,0
Brabourne Stadium,2,Mumbai Indians,Kolkata Knight Riders,57,0
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Chennai Super Kings,38,1
M Chinnaswamy Stadium,2,Chennai Super Kings,Royal Challengers Bangalore,29,1
"Punjab Cricket Association Stadium, Mohali",1,Rajasthan Royals,Punjab Kings,53,1
"Punjab Cricket Association Stadium, Mohali",2,Punjab Kings,Rajasthan Royals,75,1
Brabourne Stadium,1,Chennai Super Kings,Mumbai Indians,51,2
Brabourne Stadium,2,Mumbai Indians,Chennai Super Kings,63,0
Narendra Modi Stadium,1,Deccan Chargers,Rajasthan Royals,55,2
Narendra Modi Stadium,2,Rajasthan Royals,Deccan Chargers,54,0
"Punjab Cricket Association Stadium, Mohali",1,Kolkata Knight Riders,Punjab Kings,50,2
"Punjab Cricket Association Stadium, Mohali",2,Punjab Kings,Kolkata Knight Riders,42,2
M Chinnaswamy Stadium,1,Delhi Daredevils,Royal Challengers Bangalore,64,2
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Delhi Daredevils,42,0
Narendra Modi Stadium,1,Rajasthan Royals,Chennai Super Kings,58,1
Narendra Modi Stadium,2,Chennai Super Kings,Rajasthan Royals,58,1
Dr DY Patil Sports Academy,1,Mumbai Indians,Deccan Chargers,52,1
Dr DY Patil Sports Academy,2,Deccan Chargers,Mumbai Indians,50,3
Arun Jaitley Stadium,1,Delhi Daredevils,Kolkata Knight Riders,62,3
Arun Jaitley Stadium,2,Kolkata Knight Riders,Delhi Daredevils,36,3
Brabourne Stadium,1,Punjab Kings,Mumbai Indians,48,2
Brabourne Stadium,2,Mumbai Indians,Punjab Kings,44,1
MA Chidambaram Stadium,1,Royal Challengers Bangalore,Chennai Super Kings,51,1
MA Chidambaram Stadium,2,Chennai Super Kings,Royal Challengers Bangalore,56,0
Arun Jaitley Stadium,1,Delhi Daredevils,Rajasthan Royals,52,3
Arun Jaitley Stadium,2,Rajasthan Royals,Delhi Daredevils,39,4
Eden Gardens,1,Kolkata Knight Riders,Deccan Chargers,46,2
Eden Gardens,2,Deccan Chargers,Kolkata Knight Riders,59,1
"Punjab Cricket Association Stadium, Mohali",1,Punjab Kings,Royal Challengers Bangalore,41,1
"Punjab Cricket Association Stadium, Mohali",2,Royal Challengers Bangalore,Punjab Kings,51,1
MA Chidambaram Stadium,1,Chennai Super Kings,Rajasthan Royals,66,1
MA Chidambaram Stadium,2,Rajasthan Royals,Chennai Super Kings,62,0
Brabourne Stadium,1,Mumbai Indians,Deccan Chargers,53,0
Brabourne Stadium,2,Deccan Chargers,Mumbai Indians,40,2
Eden Gardens,1,Kolkata Knight Riders,Punjab Kings,53,0
Eden Gardens,2,Punjab Kings,Kolkata Knight Riders,69,1
Arun Jaitley Stadium,1,Delhi Daredevils,Royal Challengers Bangalore,54,2
Arun Jaitley Stadium,2,Royal Challengers Bangalore,Delhi Daredevils,38,1
"Vidarbha Cricket Association Stadium, Jamtha",1,Rajasthan Royals,Deccan Chargers,48,2
"Vidarbha Cricket Association Stadium, Jamtha",2,Deccan Chargers,Rajasthan Royals,52,2
MA Chidambaram Stadium,1,Chennai Super Kings,Mumbai Indians,42,1
MA Chidambaram Stadium,2,Mumbai Indians,Chennai Super Kings,46,0
Sawai Mansingh Stadium,1,Punjab Kings,Rajasthan Royals,52,1
Sawai Mansingh Stadium,2,Rajasthan Royals,Punjab Kings,70,0
Eden Gardens,1,Kolkata Knight Riders,Delhi Daredevils,50,0
Eden Gardens,2,Delhi Daredevils,Kolkata Knight Riders,44,1
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Deccan Chargers,46,1
M Chinnaswamy Stadium,2,Deccan Chargers,Royal Challengers Bangalore,32,1
"Punjab Cricket Association Stadium, Mohali",1,Mumbai Indians,Punjab Kings,51,2
"Punjab Cricket Association Stadium, Mohali",2,Punjab Kings,Mumbai Indians,56,1
"Vidarbha Cricket Association Stadium, Jamtha",1,Chennai Super Kings,Deccan Chargers,55,1
"Vidarbha Cricket Association Stadium, Jamtha",2,Deccan Chargers,Chennai Super Kings,37,2
M Chinnaswamy Stadium,1,Kolkata Knight Riders,Royal Challengers Bangalore,60,1
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Kolkata Knight Riders,48,1
Arun Jaitley Stadium,1,Delhi Daredevils,Punjab Kings,45,3
Arun Jaitley Stadium,2,Punjab Kings,Delhi Daredevils,39,0
Sawai Mansingh Stadium,1,Mumbai Indians,Rajasthan Royals,47,3
Sawai Mansingh Stadium,2,Rajasthan Royals,Mumbai Indians,33,3
"Vidarbha Cricket Association Stadium, Jamtha",1,Deccan Chargers,Royal Challengers Bangalore,35,3
"Vidarbha Cricket Association Stadium, Jamtha",2,Royal Challengers Bangalore,Deccan Chargers,37,1
Brabourne Stadium,1,Mumbai Indians,Delhi Daredevils,44,1
Brabourne Stadium,2,Delhi Daredevils,Mumbai Indians,68,1
MA Chidambaram Stadium,1,Kolkata Knight Riders,Chennai Super Kings,22,4
MA Chidambaram Stadium,2,Chennai Super Kings,Kolkata Knight Riders,67,1
Sawai Mansingh Stadium,1,Rajasthan Royals,Royal Challengers Bangalore,30,3
Sawai Mansingh Stadium,2,Royal Challengers Bangalore,Rajasthan Royals,59,2
MA Chidambaram Stadium,1,Chennai Super Kings,Delhi Daredevils,39,3
MA Chidambaram Stadium,2,Delhi Daredevils,Chennai Super Kings,33,3
Himachal Pradesh Cricket Association Stadium,1,Punjab Kings,Deccan Chargers,43,1
Himachal Pradesh Cricket Association Stadium,2,Deccan Chargers,Punjab Kings,45,1
M Chinnaswamy Stadium,1,Mumbai Indians,Royal Challengers Bangalore,34,1
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Mumbai Indians,34,2
Eden Gardens,1,Rajasthan Royals,Kolkata Knight Riders,46,0
Eden Gardens,2,Kolkata Knight Riders,Rajasthan Royals,42,2
Himachal Pradesh Cricket Association Stadium,1,Punjab Kings,Chennai Super Kings,49,1
Himachal Pradesh Cricket Association Stadium,2,Chennai Super Kings,Punjab Kings,49,2
Arun Jaitley Stadium,1,Deccan Chargers,Delhi Daredevils,38,2
Arun Jaitley Stadium,2,Delhi Daredevils,Deccan Chargers,39,3
Eden Gardens,1,Mumbai Indians,Kolkata Knight Riders,42,2
Eden Gardens,2,Kolkata Knight Riders,Mumbai Indians,44,0
Dr DY Patil Sports Academy,1,Mumbai Indians,Royal Challengers Bangalore,54,2
Dr DY Patil Sports Academy,2,Royal Challengers Bangalore,Mumbai Indians,44,1
Dr DY Patil Sports Academy,1,Chennai Super Kings,Deccan Chargers,39,3
Dr DY Patil Sports Academy,2,Deccan Chargers,Chennai Super Kings,23,2
Dr DY Patil Sports Academy,1,Deccan Chargers,Royal Challengers Bangalore,27,3
Dr DY Patil Sports Academy,2,Royal Challengers Bangalore,Deccan Chargers,32,0
Dr DY Patil Sports Academy,1,Chennai Super Kings,Mumbai Indians,39,0
Dr DY Patil Sports Academy,2,Mumbai Indians,Chennai Super Kings,32,1
MA Chidambaram Stadium,1,Chennai Super Kings,Kolkata Knight Riders,45,1
MA Chidambaram Stadium,2,Kolkata Knight Riders,Chennai Super Kings,51,0
"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,Rajasthan Royals,44,2
"Rajiv Gandhi International Stadium, Uppal",2,Rajasthan Royals,Deccan Chargers,31,1
Nehru Stadium,1,Kochi Tuskers Kerala,Royal Challengers Bangalore,60,0
Nehru Stadium,2,Royal Challengers Bangalore,Kochi Tuskers Kerala,48,2
Arun Jaitley Stadium,1,Delhi Daredevils,Mumbai Indians,38,3
Arun Jaitley Stadium,2,Mumbai Indians,Delhi Daredevils,31,1
Dr DY Patil Sports Academy,1,Punjab Kings,Pune Warriors,36,5
Dr DY Patil Sports Academy,2,Pune Warriors,Punjab Kings,44,1
Eden Gardens,1,Kolkata Knight Riders,Deccan Chargers,46,0
Eden Gardens,2,Deccan Chargers,Kolkata Knight Riders,30,2
Sawai Mansingh Stadium,1,Delhi Daredevils,Rajasthan Royals,30,2
